,silhouette_score,calinski_harabasz_score,davies_bouldin_score,inertia
Beta-VAE,0.29472652077674866,524.3347487865486,1.0312539751895715,1529.48388671875
CVAE,0.2363203465938568,654.5613625020665,1.1909402207909885,7600.4423828125
Autoencoder,0.23479516804218292,474.84982275339297,1.2455228642548046,8803121.0
PCA,0.07003434002399445,84.12732073991968,2.5782216641128954,178637.09375
