,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
Track0001,-0.0010494697,-0.0013344437,-0.00074319914,0.00013256446,-0.0003406629,-0.00028645247,0.0012199581,0.00072823465,-0.00014341623,0.00065944344,-0.0018642396,0.0021142624,-0.0018352009,-0.0018549673,-0.0029696971,-0.0006214455,0.0010954663,0.0009209197,0.0006851163,0.0010018977,-0.0007375814,-0.0006158259,0.0018282309,-0.0017240308,-0.0004269434,-0.00040047988,-0.0007357944,-0.00042592734,0.000902839,-0.0024478808,-0.00066568237,0.0016030781,0.0007864274,-0.0015022773,0.00026379898,0.000981357,-0.0004246682,0.000878152,9.545032e-05,-0.0006880695,0.00014777482,-0.00076910295,0.0007883981,-0.0013615787,-0.0016705943,-0.0015659621,-0.0027863458,0.00030903332,0.0008488968,-0.0013812333,-0.0017782338,0.0023734346,-0.00065394863,0.0017827244,0.0007326212,-0.0005611144,-0.0023094174,-0.0005433578,0.0020919591,-0.000106925145,0.0007545501,-0.00032520248,-0.0006200969,0.0019003525
Track0002,-0.0011843243,-0.0017297715,-0.0030467883,0.000435777,-0.0017667972,0.0005163178,-0.00043958053,0.0011914149,-0.00024724752,-0.00088928826,0.00019029528,0.0005031377,-0.0012987126,-0.00070317835,0.0015583634,-0.0030438378,3.037043e-05,-0.0015714727,0.00093147345,0.0011603155,-0.0005278513,-0.00030431338,0.0005400181,0.00017423555,-3.054738e-07,-0.0006594565,-0.0002087641,0.00014134496,-0.001289703,0.0009667538,-0.0004562135,0.0012615137,-0.0004332438,4.701037e-05,-0.0011882801,0.00092222914,-0.00029093772,-0.0012474046,-0.002114608,-0.00051956065,-0.001546368,-0.00062434934,0.0009774491,0.0005963817,0.0007154364,-0.0015936736,-0.0008158758,0.00024697185,-0.0010109916,0.00062011555,0.00011721626,0.00069598854,-0.0021985527,0.002197858,-0.0004948247,-0.001652956,-0.0009127328,-0.0011984706,-0.0006505884,-0.00083189644,0.0014365464,0.00054104,0.0026808009,-0.00086964294
Track0003,-0.00012473576,0.00048165768,0.000729464,0.0004504351,-0.0015157089,0.00089564174,0.0005186759,-0.00025197864,-0.00090866536,-0.0014063586,0.0010298714,0.0023931526,-0.0009844061,0.00025626644,-0.0004362017,-0.0005616285,4.181452e-05,-0.0009133499,0.00018447638,0.0010618488,0.00031053647,0.0011655763,-0.0004304126,-0.00025783852,0.0007904107,0.00086269155,0.00028918474,-4.569441e-05,-0.0008084327,-0.0005903356,-0.0006227463,8.1118196e-05,0.00010697916,-0.00065369066,-0.0017389935,0.001587797,-0.002038505,0.0005443278,-0.00026988517,-0.00012742262,-0.0029291883,0.0017353725,-0.0009247735,0.0018889457,-0.000345191,0.00030868314,0.0005905777,8.2856044e-05,-0.0020070001,0.0005958304,0.0007830858,0.0023370162,-0.0018581823,0.0020753632,0.0012443494,-0.00057094917,0.0003768796,0.0005472079,1.3509765e-05,-0.00070276856,-0.0005217865,0.00062386063,0.0016544834,-0.00019283965
Track0004,6.0483813e-05,0.00030640513,-0.003396701,-6.35935e-05,-0.0009197183,-0.0012699887,-0.00034978613,0.0024632178,0.0006347075,0.0011692625,-0.0011113137,0.0026297085,-0.0019462071,-0.0009482987,-0.0029208139,-0.00020438805,0.0002745241,-0.0010577459,0.0024674032,0.0005281144,4.474446e-05,0.00015398674,0.002467025,-0.0016839243,-0.0007527219,-0.00042947382,0.00091273803,-0.00091071427,0.00039232522,-0.0022044182,-0.001323486,0.00064210966,0.0011679605,-0.0012166561,7.583201e-05,0.000105623156,0.00082151964,-0.0005504964,-0.0001007393,-0.0012372653,0.0010548532,0.00022953562,0.0010428727,-0.0019199997,-0.00023070257,1.7295592e-05,-0.0028153434,0.0017991848,0.0014853999,-0.000637766,-0.0005911775,-0.00017490983,-5.461648e-05,0.0014858681,-0.0015277583,-0.0019408949,-0.0010739692,-0.0007478921,0.0013495274,-0.0022510719,0.002916731,0.00039398484,-0.00033756346,0.0011772327
Track0005,0.0008521306,-0.00087207556,-0.0016844124,-0.0012131697,0.0005721487,-0.0011143833,0.0019157641,0.0019895658,0.0010500029,0.0023883227,-0.0058788806,0.0013007708,-0.0016292781,-0.004543189,0.00015382096,-0.0018101446,8.56258e-05,0.00021653064,0.0013151895,0.0020477504,-0.0030551217,0.0018033534,0.0038904324,-0.001527708,-0.0017126659,-0.0010396112,-0.00032504403,-0.001042176,0.0019097999,-0.0005428903,-0.00082277553,0.002289772,-0.00041523948,-0.001081978,0.002030868,0.00088952854,0.00082308426,-0.0011270298,0.002049815,0.0010500718,0.0022383407,-0.00064785033,0.0024056658,-0.0028516501,-0.00089456234,-0.0028659934,-0.0014517829,-0.0011285376,0.003374219,-0.0015624613,-0.0026399903,-0.0012385771,-0.00046400912,-0.0029534413,0.00097293593,0.0027316548,-0.0024536247,0.00037430227,0.0040369816,0.003907579,0.0014294982,-0.00011115079,-0.004241675,0.0005043894
Track0006,0.0012595246,-0.0032561421,0.0004938096,2.029352e-06,0.0006661974,0.0024443865,0.0027136058,-0.00012805685,0.0016331822,-0.00054489076,-0.004618712,-0.00056276843,-0.0012133364,-0.0020350032,0.004002154,-0.0021124072,-0.0010811258,0.0014540488,0.00018872507,0.0030099128,-0.0008386709,0.0023121722,-0.00077587366,-0.00023325533,0.0012254613,0.00055280514,-0.0037101517,-0.0006905757,-0.0027629212,0.0028415434,0.0019807636,0.0018608589,0.0005560033,0.0018542064,0.0040706974,0.0021817237,-0.0015828758,-0.0025719348,0.0020588804,0.0011014398,-0.0018841326,0.0011172816,0.0004496202,2.95043e-06,0.0021658065,-0.0033471575,0.0051717833,-0.003652636,-0.0019830242,0.0017695315,-4.4267625e-05,-0.0031787269,-0.00044777244,-0.0053580347,0.0045649074,0.0057817884,0.00044056657,0.0016775839,0.0019860882,0.006150117,-1.6719103e-05,-0.00054037897,0.0001393035,-0.0015436187
Track0007,0.0007391367,-0.0018167458,-0.0012969524,0.00018510222,-0.0005280785,0.0011697039,0.0022815466,0.001729589,0.0006792769,0.0012692809,-0.003725417,0.0011209548,-0.0010773987,-0.0022214279,0.0011660308,-0.002692178,-0.0010693129,0.0005151788,0.00071343035,0.002194929,-0.0010824054,0.0019614547,0.00094341487,-0.00068994984,-0.0006126249,-2.8118491e-05,-0.00071371906,-0.000876572,-0.001132071,-0.00024649128,-6.888271e-05,0.0010716431,-4.336983e-05,-0.0008862419,0.0015729349,0.0024244376,0.0005486347,-0.0013560713,0.0007228134,1.5079044e-05,-8.009374e-05,0.00042952597,0.0014721751,-0.0016278662,0.0007110052,-0.0025732713,0.0013641864,-0.00071936846,0.000776805,0.00087410957,-0.0009312816,-0.0012774318,-0.0004626587,-0.0031014257,0.00194248,0.002057314,-0.0019078375,-0.0001311265,0.0026388783,0.0032360037,0.0013956502,8.874759e-05,-0.0009659305,5.1744282e-05
Track0008,0.0007773279,-0.0023276694,-0.00019159168,-0.00026177987,0.0009728968,0.0017207935,0.0023306385,0.00066541135,0.0013105646,0.0003492143,-0.0044829026,-2.425164e-06,-0.00052781403,-0.002081275,0.0029326305,-0.002636969,-0.00066722743,0.0016788356,0.0005928315,0.0021074153,-0.0017166063,0.0023485348,-0.00025675818,-0.0004973188,0.00019491743,-0.0006078277,-0.0018182378,-7.568672e-05,-0.0008838847,0.0017741695,0.0008764693,0.0017208718,-0.00070868805,0.0011271304,0.0021894388,0.0014430173,-0.00044607,-0.0016193627,0.0021584677,0.0016023936,-0.0007497147,0.00088351965,0.0009749085,-0.00019693747,0.001103933,-0.0028159088,0.0029925704,-0.002947837,-0.0006666556,0.0007747784,-0.0008399002,-0.0024527572,-0.0011435058,-0.0041809804,0.0025410615,0.004651919,-0.00044517207,0.0009707771,0.0024944786,0.004818179,0.00061345845,-0.0006963718,-0.0014581308,-0.001176998
Track0009,0.00050436007,-0.0002660975,-0.0034148842,0.00068634003,-0.003666371,-0.00075145066,-0.004872896,-0.0016895272,-0.0016639307,-0.0025931466,0.0037452728,0.0007251911,-0.00064445846,0.0060916245,-0.0019054748,0.001703307,-0.00026655756,-0.002736671,0.0029435959,-0.0034968196,0.0034718812,-0.00017698482,-0.0009132661,0.0010106638,0.0006654663,-0.000730427,0.0020518857,-0.0010411777,-0.002265133,-0.0019382946,-0.0008729275,-0.0023247898,0.0013129786,-0.0015808921,-0.0023467336,-0.0013095178,-0.00020274892,-0.003471584,-0.0021971837,-0.0020380258,-0.00069358945,0.001615677,-0.0025536343,0.0016111955,0.0028677257,0.0048571853,-0.00031125546,0.004226055,-0.0017333999,0.0015321821,0.0027928874,0.00043495744,0.00035055913,0.0042433213,-0.003865907,-0.005637035,0.002957008,-0.0014193235,-0.0039050244,-0.008554954,0.0017310679,-0.00067381654,0.0037437081,-0.0011499822
Track0010,-0.0010855589,-0.0003346093,-0.00069491565,8.6292624e-05,-0.0005361438,6.183982e-05,-0.0002894476,0.00017201155,-0.0009754151,-0.0012965966,0.0012406707,0.001450073,-0.0015186723,0.0013842657,3.2763928e-05,-0.0026809685,0.00059908256,-0.00020223297,-0.00048337504,0.00087427394,0.0009203963,-8.685514e-06,0.00025823712,0.00023876503,-0.00031760056,-8.977391e-05,0.00022640126,0.0010672472,-0.00058838725,-0.00032747164,-0.00114476,0.0012709834,0.00043384358,1.7562415e-05,-0.0023405794,0.0009928606,-0.00024997815,0.00056673074,0.00016600639,0.00054238364,-0.001905404,0.0007323921,0.00055181235,0.001148127,0.00024966244,-0.0003031185,-0.00046718866,-3.0528754e-06,-0.0025596619,0.00021866709,-8.3040446e-05,0.0021248236,-0.0014671739,0.00203843,-0.00042143464,-0.0016874224,-0.00083172147,-0.0007218439,-0.0004071705,-0.00012534484,0.00017954409,0.00012795278,0.0011975616,-0.0007979013
